"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.22, 2020"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","","E1101","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E4101","E4501","E9101","E9102","E9103","E9105","E9106"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","E1101_Number of kindergartens[number of kindergartens]","E1501_Number of Kindergarten students[person]","E2101_Number of elementary schools[number of schools]","E2401_Number of elementary school teachers[person]","E2501_Elementary school students[person]","E3101_Number of lower secondary schools[number of schools]","E3401_Number of lower secondary school teachers[person]","E3501_Lower secondary school students[person]","E4101_Number of upper secondary schools[number of schools]","E4501_Upper secondary school students[person]","E9101_Population by last school completed (Graduates) (Total)[person]","E9102_Population by last school completed (Elementary school, lower secondary school)[person]","E9103_Population by last school completed (Upper secondary school, lower secondary schools under the old educational system)[person]","E9105_Population by last school completed (Junior college, college of technology)[person]","E9106_Population by last school completed (University and graduate school)[person]"
"2015100000","2015","01343","Hokkaido Shikabe-cho","","1","85","1","17","174","1","14","89","0","0","***","***","***","***","***"
"2015100000","2015","01345","Hokkaido Mori-machi","","2","116","9","84","803","2","41","435","1","293","***","***","***","***","***"
"2015100000","2015","01346","Hokkaido Yakumo-cho","","2","135","11","101","815","5","78","431","2","319","***","***","***","***","***"
"2015100000","2015","01347","Hokkaido Oshamambe-cho","","1","45","2","21","192","1","18","118","1","99","***","***","***","***","***"
"2015100000","2015","01361","Hokkaido Esashi-cho","","2","71","3","47","343","2","30","207","1","334","***","***","***","***","***"
"2015100000","2015","01362","Hokkaido Kaminokuni-cho","","0","0","3","31","221","1","18","146","1","74","***","***","***","***","***"
"2015100000","2015","01363","Hokkaido Assabu-cho","","0","0","4","36","173","3","30","108","0","0","***","***","***","***","***"
"2015100000","2015","01364","Hokkaido Otobe-cho","","0","0","3","24","165","1","14","99","0","0","***","***","***","***","***"
"2015100000","2015","01367","Hokkaido Okushiri-cho","","2","49","2","26","98","2","24","54","1","44","***","***","***","***","***"
"2015100000","2015","01370","Hokkaido Imakane-cho","","0","0","2","31","207","1","17","144","0","0","***","***","***","***","***"
"2015100000","2015","01371","Hokkaido Setana-cho","","1","33","5","43","333","3","39","185","1","290","***","***","***","***","***"
"2015100000","2015","01391","Hokkaido Shimamaki-mura","","0","0","1","10","46","1","13","37","0","0","***","***","***","***","***"
"2015100000","2015","01392","Hokkaido Suttsu-cho","","0","0","2","23","122","1","15","68","1","84","***","***","***","***","***"
"2015100000","2015","01393","Hokkaido Kuromatsunai-cho","","0","0","2","25","148","2","20","77","0","0","***","***","***","***","***"
"2015100000","2015","01394","Hokkaido Rankoshi-cho","","1","23","2","22","201","1","13","139","1","77","***","***","***","***","***"
"2015100000","2015","01395","Hokkaido Niseko-cho","","1","50","2","30","226","1","15","115","1","87","***","***","***","***","***"
"2015100000","2015","01396","Hokkaido Makkari-mura","","0","0","2","16","98","1","11","52","1","102","***","***","***","***","***"
"2015100000","2015","01397","Hokkaido Rusutsu-mura","","0","0","1","11","98","1","12","45","1","61","***","***","***","***","***"
"2015100000","2015","01398","Hokkaido Kimobetsu-cho","","0","0","2","19","94","1","11","40","0","0","***","***","***","***","***"
"2015100000","2015","01399","Hokkaido Kyogoku-cho","","0","0","2","23","181","1","14","94","0","0","***","***","***","***","***"
"2015100000","2015","01400","Hokkaido Kutchan-cho","","3","364","5","82","798","1","32","401","2","500","***","***","***","***","***"
"2015100000","2015","01401","Hokkaido Kyowa-cho","","2","47","3","31","280","1","17","149","1","35","***","***","***","***","***"
"2015100000","2015","01402","Hokkaido Iwanai-cho","","3","152","2","56","540","2","40","355","1","348","***","***","***","***","***"
"2015100000","2015","01403","Hokkaido Tomari-mura","","0","0","1","11","82","1","12","55","0","0","***","***","***","***","***"
"2015100000","2015","01404","Hokkaido Kamoenai-mura","","0","0","1","10","37","1","10","18","0","0","***","***","***","***","***"
"2015100000","2015","01405","Hokkaido Shakotan-cho","","0","0","4","24","77","1","11","40","0","0","***","***","***","***","***"
