"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.22, 2020"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","","A1101","A110101","A110102","A1102","A110201","A110202","A1231","A161001","A1700","A5101","A5102","A5103","A5104","A6101","A6102","A6103","A6104","A6105","A6106","A6107","A7101","A9101","A9201"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A1101_Total population (Both sexes)[person]","A110101_Total population (Male)[person]","A110102_Total population (Female)[person]","A1102_Japanese population (Both sexes)[person]","A110201_Japanese population (Male)[person]","A110202_Japanese population (Female)[person]","A1231_Median age[age]","A161001_Ratio of never married persons (population 15 years old and over)[%]","A1700_Foreigners (Total)[person]","A5101_Number of in-migrants from other municipalities[person]","A5102_Number of out-migrants to other municipalities[person]","A5103_Number of in-migrants from other prefectures (All nationalities)[person]","A5104_Number of out-migrants to other prefectures (All nationalities)[person]","A6101_Population not working or going to school[person]","A6102_Population working or schooling in the same shi, ku, machi or mura[person]","A6103_Outflow population (Population working or schooling in other shi, ku, machi or mura of the same prefecture)[person]","A6104_Outflow population (Population working or schooling in other prefecture)[person]","A6105_Inflow population (Population living in another shi, ku, machi or mura of the same prefecture)[person]","A6106_Inflow population (Population living in another prefecture)[person]","A6107_Daytime population[person]","A7101_Number of households (Total)[households]","A9101_Marriages[pairs]","A9201_Divorces[pairs]"
"2015100000","2015","01436","Hokkaido Uryu-cho","","2,749","1,323","1,426","2,739","1,320","1,419","56.2","23.44190","10","64","111","***","***","1,072","1,300","371","3","448","0","2,823","1,005","6","5"
"2015100000","2015","01437","Hokkaido Hokuryu-cho","","1,981","938","1,043","1,979","938","1,041","60.3","17.14761","2","45","70","***","***","804","955","215","1","222","0","1,987","782","11","1"
"2015100000","2015","01438","Hokkaido Numata-cho","","3,181","1,501","1,680","3,180","1,500","1,680","59.1","19.57197","1","109","153","***","***","1,276","1,574","318","2","364","0","3,225","1,333","8","8"
"2015100000","2015","01452","Hokkaido Takasu-cho","","7,018","3,309","3,709","7,014","3,306","3,708","50.5","20.44579","4","179","206","***","***","2,581","2,292","2,006","15","1,137","2","6,136","2,717","13","9"
"2015100000","2015","01453","Hokkaido Higashikagura-cho","","10,233","4,772","5,461","10,219","4,760","5,459","46.9","19.75395","14","509","341","***","***","3,640","2,892","3,333","12","1,520","0","8,408","3,657","22","23"
"2015100000","2015","01454","Hokkaido Tohma-cho","","6,689","3,076","3,613","6,682","3,070","3,612","58.1","19.03085","7","222","223","***","***","2,699","2,488","1,485","6","853","1","6,052","2,698","17","6"
"2015100000","2015","01455","Hokkaido Pippu-cho","","3,777","1,787","1,990","3,776","1,787","1,989","58.9","19.33314","1","105","128","***","***","1,492","1,445","809","11","405","0","3,362","1,586","11","0"
"2015100000","2015","01456","Hokkaido Aibetsu-cho","","2,976","1,393","1,583","2,941","1,392","1,549","60.3","19.55556","35","73","111","***","***","1,294","1,274","391","3","366","0","2,948","1,305","3","4"
"2015100000","2015","01457","Hokkaido Kamikawa-cho","","4,044","1,936","2,108","4,002","1,931","2,071","58.9","23.14162","42","162","241","***","***","1,623","2,234","176","8","429","4","4,293","2,102","9","3"
"2015100000","2015","01458","Hokkaido Higashikawa-cho","","8,111","3,719","4,392","7,900","3,693","4,207","50.0","21.97724","211","400","328","***","***","2,959","3,208","1,776","11","1,874","3","8,201","3,148","27","10"
"2015100000","2015","01459","Hokkaido Biei-cho","","10,292","4,826","5,466","10,252","4,816","5,436","55.2","20.34158","40","308","373","***","***","4,047","5,068","1,063","21","988","10","10,206","4,288","35","11"
"2015100000","2015","01460","Hokkaido Kamifurano-cho","","10,826","5,442","5,384","10,804","5,435","5,369","49.0","22.04497","22","507","594","***","***","3,925","5,539","1,174","13","1,037","5","10,681","4,363","52","22"
