"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.22, 2020"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","","B1102","B1103","B1104","B1105","B1106","B1107"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","B1102_Total land area (Incl. the northern territories and Takeshima)[ha]","B1103_Inhabitable area[ha]","B1104_Main lakes and marshes area[ha]","B1105_Woodland area[ha]","B1106_Forest area[ha]","B1107_Area of grass fields other than forest[ha]"
"2014100000","2014","01546","Hokkaido Kiyosato-cho","","40276","13200","0","27056","27052","4"
"2014100000","2014","01547","Hokkaido Koshimizu-cho","","28689","14455","355","13842","13455","387"
"2014100000","2014","01549","Hokkaido Kunneppu-cho","","19095","9241","0","10588","9269","1319"
"2014100000","2014","01550","Hokkaido Oketo-cho","","52727","7834","0","44559","44388","171"
"2014100000","2014","01552","Hokkaido Saroma-cho","","40494","12702","5422","22347","22318","29"
"2014100000","2014","01555","Hokkaido Engaru-cho","","133245","19995","0","113142","113052","90"
"2014100000","2014","01559","Hokkaido Yubetsu-cho","","50579","16604","4490","29463","27319","2144"
"2014100000","2014","01560","Hokkaido Takinoue-cho","","76689","9546","0","67120","67077","43"
"2014100000","2014","01561","Hokkaido Okoppe-cho","","36254","8141","0","28615","26105","2510"
"2014100000","2014","01562","Hokkaido Nishiokoppe-mura","","30808","3298","0","27498","27496","2"
"2014100000","2014","01563","Hokkaido Omu-cho","","63686","15742","0","47982","47365","617"
"2014100000","2014","01564","Hokkaido Ozora-cho","","34366","18960","1224","13779","13740","39"
"2014100000","2014","01571","Hokkaido Toyoura-cho","","23357","4207","0","19262","17886","1376"
"2014100000","2014","01575","Hokkaido Sobetsu-cho","","20501","3438","3134","13943","12924","1019"
"2014100000","2014","01578","Hokkaido Shiraoi-cho","","42564","7327","470","34655","32642","2013"
"2014100000","2014","01581","Hokkaido Atsuma-cho","","40461","9838","0","30553","28352","2201"
"2014100000","2014","01584","Hokkaido Toyako-cho","","18081","6054","3938","8046","7579","467"
"2014100000","2014","01585","Hokkaido Abira-cho","","23716","11580","0","11973","10054","1919"
"2014100000","2014","01586","Hokkaido Mukawa-cho","","71136","13774","0","57240","55911","1329"
"2014100000","2014","01601","Hokkaido Hidaka-cho","","99211","23030","0","76354","75794","560"
"2014100000","2014","01602","Hokkaido Biratori-cho","","74309","12965","0","61289","60918","371"
"2014100000","2014","01604","Hokkaido Niikappu-cho","","58581","14611","0","43949","43117","832"
"2014100000","2014","01607","Hokkaido Urakawa-cho","","69426","12658","0","56677","56469","208"
"2014100000","2014","01608","Hokkaido Samani-cho","","36430","3775","0","32823","32815","8"
"2014100000","2014","01609","Hokkaido Erimo-cho","","28400","3017","0","24785","23797","988"
"2014100000","2014","01610","Hokkaido Shinhidaka-cho","","114755","23307","0","91544","90145","1399"
"2014100000","2014","01631","Hokkaido Otofuke-cho","","46602","33789","0","13093","10999","2094"
"2014100000","2014","01632","Hokkaido Shihoro-cho","","25919","19740","0","6107","5664","443"
"2014100000","2014","01633","Hokkaido Kamishihoro-cho","","69423","18533","0","50891","50438","453"
"2014100000","2014","01634","Hokkaido Shikaoi-cho","","40288","16515","0","23916","21305","2611"
"2014100000","2014","01635","Hokkaido Shintoku-cho","","106383","21887","0","84498","84456","42"
"2014100000","2014","01636","Hokkaido Shimizu-cho","","40225","22316","0","17843","16982","861"
"2014100000","2014","01637","Hokkaido Memuro-cho","","51376","28896","0","22514","20773","1741"
"2014100000","2014","01638","Hokkaido Nakasatsunai-mura","","29258","12664","0","16544","16223","321"
"2014100000","2014","01639","Hokkaido Sarabetsu-mura","","17690","14561","0","3111","2703","408"
"2014100000","2014","01641","Hokkaido Taiki-cho","","81568","24334","154","57085","55622","1463"
"2014100000","2014","01642","Hokkaido Hiroo-cho","","59654","12359","0","47217","46681","536"
"2014100000","2014","01643","Hokkaido Makubetsu-cho","","47764","31628","0","16093","14777","1316"
"2014100000","2014","01644","Hokkaido Ikeda-cho","","37179","13700","0","23444","22558","886"
"2014100000","2014","01645","Hokkaido Toyokoro-cho","","53671","18488","555","34624","32695","1929"
"2014100000","2014","01646","Hokkaido Hombetsu-cho","","39191","17180","0","22002","21503","499"
"2014100000","2014","01647","Hokkaido Ashoro-cho","","140804","19136","0","118404","115253","3151"
"2014100000","2014","01648","Hokkaido Rikubetsu-cho","","60890","9330","0","51440","49028","2412"
"2014100000","2014","01649","Hokkaido Urahoro-cho","","72985","17614","0","55363","54188","1175"
"2014100000","2014","01661","Hokkaido Kushiro-cho","","25266","4756","131","20669","18630","2039"
"2014100000","2014","01662","Hokkaido Akkeshi-cho","","73926","19161","3231","51547","38514","13033"
"2014100000","2014","01663","Hokkaido Hamanaka-cho","","42363","19207","376","22522","15970","6552"
"2014100000","2014","01664","Hokkaido Shibecha-cho","","109937","36287","799","72912","57951","14961"
"2014100000","2014","01665","Hokkaido Teshikaga-cho","","77433","16184","9876","51413","47824","3589"
"2014100000","2014","01667","Hokkaido Tsurui-mura","","57180","11714","0","45433","36137","9296"
"2014100000","2014","01668","Hokkaido Shiranuka-cho","","77353","10041","0","67049","63110","3939"
"2014100000","2014","01691","Hokkaido Betsukai-cho","","131963","80331","0","51439","35480","15959"
"2014100000","2014","01692","Hokkaido Nakashibetsu-cho","","68487","35523","0","32976","32061","915"
"2014100000","2014","01693","Hokkaido Shibetsu-cho","","62468","20881","0","41552","40746","806"
"2014100000","2014","01694","Hokkaido Rausu-cho","","39772","11790","0","27973","27862","111"
"2014100000","2014","02201","Aomori-ken Aomori-shi","","82461","25701","0","56534","55881","653"
"2014100000","2014","02202","Aomori-ken Hirosaki-shi","","52420","29466","0","23021","22709","312"
