"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Jun.22, 2020"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","","F1101","F1102","F1103","F1104","F1105","F1106","F1107","F110701","F110702","F1108","F1109","F1110","F1111","F2401","F2402","F2403","F2404","F2705","F270501","F270502"
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","F1101_(Population census) Population in labour force[person]","F1102_(Population census) Employed persons[person]","F1103_(Population census) Employed persons, mostly worked[person]","F1104_(Population census) Employed persons, worked besides doing housework[person]","F1105_(Population census) Employed persons, working besides mainly attending school[person]","F1106_(Population census) Employed persons, Absent from work[person]","F1107_(Population census) Unemployed persons[person]","F110701_(Population census) Unemployed persons (Male)[person]","F110702_(Population census) Unemployed persons (Female)[person]","F1108_(Population census) Population not in labour force[person]","F1109_(Population census) Population not in labour force, doing housework[person]","F1110_(Population census) Population not in labour force, attending school[person]","F1111_(Population census) Population not in labour force, others[person]","F2401_(Population census) No. of employees[person]","F2402_No. of board member of company, etc.[person]","F2403_No. of self-employed, employing others[person]","F2404_No. of self-employed, not employing others[person]","F2705_Commuters to other municipalities[person]","F270501_Commuters to other municipalities (Male)[person]","F270502_Commuters to other municipalities (Female)[person]"
"2015100000","2015","01334","Hokkaido Kikonai-cho","","2173","2057","1763","265","2","27","116","87","29","2067","695","146","1226","1624","81","69","150","509","358","151"
"2015100000","2015","01337","Hokkaido Nanae-cho","","13200","12436","10418","1755","73","190","764","481","283","11154","3716","1149","6289","9809","558","363","716","6586","3812","2774"
"2015100000","2015","01343","Hokkaido Shikabe-cho","","2108","2015","1607","379","5","24","93","59","34","1695","502","179","1014","1141","82","96","293","334","224","110"
"2015100000","2015","01345","Hokkaido Mori-machi","","8231","7841","6628","1091","17","105","390","261","129","5905","1838","487","3580","5390","438","341","692","746","585","161"
"2015100000","2015","01346","Hokkaido Yakumo-cho","","8898","8571","7389","1074","8","100","327","230","97","6264","2242","495","3527","6186","403","393","593","588","435","153"
"2015100000","2015","01347","Hokkaido Oshamambe-cho","","2701","2605","2228","347","10","20","96","66","30","2714","537","561","1616","1879","149","119","179","195","147","48"
"2015100000","2015","01361","Hokkaido Esashi-cho","","4046","3852","3356","435","3","58","194","123","71","3375","1077","352","1946","2946","187","120","343","604","385","219"
"2015100000","2015","01362","Hokkaido Kaminokuni-cho","","2247","2154","1808","306","3","37","93","59","34","2122","761","147","1214","1607","138","52","208","661","322","339"
"2015100000","2015","01363","Hokkaido Assabu-cho","","2134","2055","1742","274","4","35","79","59","20","1465","409","100","956","1292","129","89","231","361","187","174"
"2015100000","2015","01364","Hokkaido Otobe-cho","","1858","1761","1516","210","4","31","97","69","28","1661","612","116","933","1380","90","68","123","535","305","230"
"2015100000","2015","01367","Hokkaido Okushiri-cho","","1393","1347","1157","157","0","33","46","36","10","1043","653","52","338","991","53","49","170","3","3","0"
"2015100000","2015","01370","Hokkaido Imakane-cho","","2903","2825","2398","383","6","38","78","48","30","2149","608","260","1281","1814","114","77","357","291","179","112"
"2015100000","2015","01371","Hokkaido Setana-cho","","4089","3977","3336","588","7","46","112","80","32","3634","1088","238","2308","2559","191","135","546","333","187","146"
"2015100000","2015","01391","Hokkaido Shimamaki-mura","","717","697","559","119","4","15","20","15","5","658","283","34","341","466","24","32","91","123","76","47"
"2015100000","2015","01392","Hokkaido Suttsu-cho","","1436","1393","1195","178","2","18","43","33","10","1377","370","93","914","1096","97","51","87","135","82","53"
"2015100000","2015","01393","Hokkaido Kuromatsunai-cho","","1368","1331","1153","157","4","17","37","21","16","1358","334","120","904","1054","52","29","114","111","71","40"
"2015100000","2015","01394","Hokkaido Rankoshi-cho","","2480","2388","1982","376","2","28","92","69","23","1836","565","166","1105","1539","127","78","283","385","237","148"
"2015100000","2015","01395","Hokkaido Niseko-cho","","2658","2523","2194","304","2","23","135","90","45","1503","560","159","784","1723","133","75","263","605","352","253"
"2015100000","2015","01396","Hokkaido Makkari-mura","","1163","1144","1014","120","5","5","19","14","5","699","168","113","418","671","48","60","108","173","104","69"
"2015100000","2015","01397","Hokkaido Rusutsu-mura","","1230","1213","1073","125","6","9","17","11","6","430","120","53","257","827","43","31","114","113","70","43"
"2015100000","2015","01398","Hokkaido Kimobetsu-cho","","1237","1202","1058","133","3","8","35","23","12","821","211","34","576","828","49","29","137","289","177","112"
"2015100000","2015","01399","Hokkaido Kyogoku-cho","","1609","1546","1280","250","2","14","63","45","18","1151","311","81","759","1105","102","46","119","313","188","125"
"2015100000","2015","01400","Hokkaido Kutchan-cho","","8065","7820","6741","949","15","115","245","164","81","4275","1722","406","2147","6024","387","193","499","914","578","336"
"2015100000","2015","01401","Hokkaido Kyowa-cho","","3571","3496","3025","449","4","18","75","48","27","1904","678","206","1020","2439","125","157","260","1290","910","380"
"2015100000","2015","01402","Hokkaido Iwanai-cho","","6589","6281","5296","882","19","84","308","217","91","4910","1739","376","2795","5084","434","151","310","1683","1178","505"
"2015100000","2015","01403","Hokkaido Tomari-mura","","911","887","760","116","3","8","24","15","9","664","255","43","366","745","26","32","40","162","82","80"
"2015100000","2015","01404","Hokkaido Kamoenai-mura","","485","472","385","76","1","10","13","10","3","441","155","26","260","362","11","20","50","111","90","21"
"2015100000","2015","01405","Hokkaido Shakotan-cho","","1088","1043","781","207","2","53","45","38","7","824","385","49","390","588","47","60","173","192","103","89"
"2015100000","2015","01406","Hokkaido Furubira-cho","","1630","1574","1289","259","4","22","56","44","12","1301","487","73","741","1115","72","52","248","284","165","119"
"2015100000","2015","01407","Hokkaido Niki-cho","","1902","1873","1577","271","11","14","29","23","6","1224","326","112","786","1031","90","150","216","389","203","186"
"2015100000","2015","01408","Hokkaido Yoichi-cho","","9486","8938","7487","1277","82","92","548","400","148","8068","2601","786","4681","6755","436","336","655","1827","1174","653"
"2015100000","2015","01409","Hokkaido Akaigawa-mura","","656","642","541","94","2","5","14","10","4","326","100","33","193","433","25","23","84","86","41","45"
"2015100000","2015","01423","Hokkaido Nanporo-cho","","4161","3983","3304","606","41","32","178","115","63","2945","932","469","1544","2991","174","95","338","1870","1150","720"
"2015100000","2015","01424","Hokkaido Naie-cho","","2681","2584","2215","334","17","18","97","66","31","2474","827","250","1397","1906","159","59","243","832","476","356"
"2015100000","2015","01425","Hokkaido Kamisunagawa-cho","","1335","1157","1004","123","8","22","178","119","59","1877","615","99","1163","1009","44","14","54","590","348","242"
"2015100000","2015","01427","Hokkaido Yuni-cho","","2834","2760","2318","393","13","36","74","51","23","1936","581","188","1167","1597","174","96","367","720","417","303"
"2015100000","2015","01428","Hokkaido Naganuma-cho","","6035","5851","4879","880","33","59","184","120","64","3774","1173","460","2141","3655","320","168","692","1494","961","533"
"2015100000","2015","01429","Hokkaido Kuriyama-cho","","6063","5847","4875","856","50","66","216","138","78","4814","1403","467","2944","4128","310","170","502","1391","857","534"
"2015100000","2015","01430","Hokkaido Tsukigata-cho","","1752","1710","1451","235","5","19","42","30","12","2543","327","107","2109","1108","78","65","184","178","129","49"
"2015100000","2015","01431","Hokkaido Urausu-cho","","1046","1023","840","167","5","11","23","16","7","716","193","68","455","525","47","45","154","177","109","68"
"2015100000","2015","01432","Hokkaido Shintotsukawa-cho","","3323","3219","2636","542","9","32","104","66","38","2730","978","261","1491","2047","127","75","445","1280","698","582"
"2015100000","2015","01433","Hokkaido Moseushi-cho","","1508","1470","1231","224","3","12","38","25","13","1309","385","108","816","807","76","46","226","383","195","188"
"2015100000","2015","01434","Hokkaido Chippubetsu-cho","","1204","1175","974","190","4","7","29","17","12","1082","226","99","757","678","47","30","167","308","166","142"
"2015100000","2015","01436","Hokkaido Uryu-cho","","1290","1273","1052","207","6","8","17","10","7","1196","266","247","683","707","71","46","188","288","170","118"
"2015100000","2015","01437","Hokkaido Hokuryu-cho","","1023","995","810","173","1","11","28","23","5","775","198","73","504","500","37","21","176","148","82","66"
"2015100000","2015","01438","Hokkaido Numata-cho","","1670","1634","1367","251","4","12","36","26","10","1226","324","95","807","1015","70","73","175","246","131","115"
"2015100000","2015","01452","Hokkaido Takasu-cho","","3473","3347","2667","607","26","47","126","81","45","2450","822","334","1294","2420","143","93","331","1764","984","780"
"2015100000","2015","01453","Hokkaido Higashikagura-cho","","5154","4999","4062","821","49","67","155","93","62","3313","1149","495","1669","3891","226","126","334","2938","1712","1226"
"2015100000","2015","01454","Hokkaido Tohma-cho","","3422","3299","2725","530","21","23","123","74","49","2544","779","246","1519","2114","139","116","477","1277","706","571"
"2015100000","2015","01455","Hokkaido Pippu-cho","","1995","1937","1580","320","13","24","58","42","16","1424","552","119","753","1364","95","117","230","715","417","298"
"2015100000","2015","01456","Hokkaido Aibetsu-cho","","1472","1428","1188","225","5","10","44","24","20","1228","388","100","740","1002","104","40","139","315","193","122"
"2015100000","2015","01457","Hokkaido Kamikawa-cho","","2120","2077","1811","243","6","17","43","29","14","1567","532","117","918","1699","111","44","121","116","77","39"
"2015100000","2015","01458","Hokkaido Higashikawa-cho","","4039","3923","3211","629","35","48","116","76","40","2917","1158","497","1262","2736","198","136","437","1572","939","633"
"2015100000","2015","01459","Hokkaido Biei-cho","","5369","5206","4368","746","21","71","163","102","61","3788","1134","388","2266","3285","236","214","587","815","510","305"
"2015100000","2015","01460","Hokkaido Kamifurano-cho","","5807","5661","4799","793","11","58","146","88","58","3506","1202","351","1953","4370","202","130","456","973","510","463"
"2015100000","2015","01461","Hokkaido Nakafurano-cho","","2606","2520","2094","387","11","28","86","46","40","1700","464","186","1050","1466","59","102","328","715","430","285"
"2015100000","2015","01462","Hokkaido Minamifurano-cho","","1290","1271","1097","157","1","16","19","16","3","954","259","69","626","892","55","38","156","62","42","20"
"2015100000","2015","01463","Hokkaido Shimukappu-mura","","752","743","638","95","0","10","9","6","3","327","108","21","198","631","30","19","28","45","27","18"
"2015100000","2015","01464","Hokkaido Wassamu-cho","","1826","1789","1473","276","3","37","37","20","17","1399","396","114","889","1039","102","62","245","229","134","95"
"2015100000","2015","01465","Hokkaido Kembuchi-cho","","1834","1808","1454","333","3","18","26","17","9","1087","358","129","600","911","55","62","358","303","182","121"
"2015100000","2015","01468","Hokkaido Shimokawa-cho","","1788","1749","1458","257","5","29","39","27","12","1392","426","105","861","1260","90","52","159","182","108","74"
"2015100000","2015","01469","Hokkaido Bifuka-cho","","2355","2295","1928","336","4","27","60","46","14","1865","617","270","978","1631","113","72","234","194","126","68"
"2015100000","2015","01470","Hokkaido Otoineppu-mura","","435","424","377","41","1","5","11","7","4","351","81","129","141","338","15","7","32","14","8","6"
"2015100000","2015","01471","Hokkaido Nakagawa-cho","","1008","989","850","126","0","13","19","15","4","575","225","18","332","750","59","14","82","59","52","7"
"2015100000","2015","01472","Hokkaido Horokanai-cho","","799","794","681","107","0","6","5","4","1","564","125","99","340","468","25","75","70","25","19","6"
"2015100000","2015","01481","Hokkaido Mashike-cho","","2255","2171","1782","350","1","38","84","60","24","1811","585","86","1140","1564","115","71","206","436","280","156"
"2015100000","2015","01482","Hokkaido Obira-cho","","1706","1670","1379","267","1","23","36","25","11","1328","402","175","751","1103","79","59","204","289","164","125"
"2015100000","2015","01483","Hokkaido Tomamae-cho","","1666","1643","1353","275","1","14","23","17","6","1263","423","129","711","1045","97","64","181","149","72","77"
"2015100000","2015","01484","Hokkaido Haboro-cho","","3647","3579","2947","544","8","80","68","44","24","2866","1008","170","1688","2432","212","142","328","231","157","74"
"2015100000","2015","01485","Hokkaido Shosambetsu-mura","","639","634","520","107","0","7","5","3","2","464","137","35","292","386","28","20","119","51","30","21"
"2015100000","2015","01486","Hokkaido Embetsu-cho","","1487","1456","1210","216","6","24","31","23","8","1017","306","110","601","1002","77","51","140","79","53","26"
"2015100000","2015","01487","Hokkaido Teshio-cho","","1810","1784","1524","235","3","22","26","19","7","1069","308","98","663","1207","89","58","185","124","79","45"
"2015100000","2015","01511","Hokkaido Sarufutsu-mura","","1587","1568","1310","245","0","13","19","16","3","681","266","60","355","1035","85","61","190","36","23","13"
"2015100000","2015","01512","Hokkaido Hamatombetsu-cho","","2122","2075","1838","216","1","20","47","34","13","1285","450","102","733","1609","104","86","123","159","77","82"
"2015100000","2015","01513","Hokkaido Nakatombetsu-cho","","904","890","760","110","0","20","14","11","3","676","176","33","467","650","36","16","84","84","50","34"
"2015100000","2015","01514","Hokkaido Esashi-cho","","4649","4565","3836","685","4","40","84","51","33","2781","847","241","1693","3201","228","168","410","129","100","29"
"2015100000","2015","01516","Hokkaido Toyotomi-cho","","2231","2188","1935","239","2","12","43","28","15","1337","444","90","803","1487","101","73","231","204","126","78"
"2015100000","2015","01517","Hokkaido Rebun-cho","","1838","1798","1404","362","4","28","40","23","17","664","291","45","328","1020","53","95","318","5","4","1"
"2015100000","2015","01518","Hokkaido Rishiri-cho","","1435","1407","1093","294","0","20","28","22","6","651","260","55","336","888","40","88","215","75","48","27"
"2015100000","2015","01519","Hokkaido Rishirifuji-cho","","1645","1619","1257","329","4","29","26","12","14","797","301","54","442","985","80","87","258","59","35","24"
"2015100000","2015","01520","Hokkaido Horonobe-cho","","1417","1391","1187","184","0","20","26","16","10","706","265","41","400","1013","42","22","157","67","46","21"
"2015100000","2015","01543","Hokkaido Bihoro-cho","","10274","9942","8433","1355","18","136","332","225","107","7381","2582","729","4070","7528","462","274","709","1699","1115","584"
"2015100000","2015","01544","Hokkaido Tsubetsu-cho","","2421","2325","1975","320","5","25","96","65","31","2151","659","164","1328","1691","143","63","185","331","204","127"
"2015100000","2015","01545","Hokkaido Shari-cho","","6761","6579","5703","792","11","73","182","130","52","4041","1393","369","2279","4852","401","200","491","288","185","103"
"2015100000","2015","01546","Hokkaido Kiyosato-cho","","2156","2112","1735","341","2","34","44","28","16","1519","469","122","928","1231","83","80","235","296","181","115"
